zipcode,full_time_earnings,part_time_earnings,no_earnings,car_truck_van,public_transportation,taxi,motorcycle,bike_walk_other,work_home,less_than_hs,high_school_grad,associates,bachelors,masters,professional_school_degree,doctorate,public_school_enrollment,private_school_enrollment,no_school_enrollment,for_rent,rented_and_unoccupied,for_sale_only,sold_and_unoccupied,seasonal_or_rec_use,migrant_worker_housing,vacant_other_reasons,in_occupied_housing_units,adult_correctional_facility,juvenile_facilities,nursing_facilities,other_institutional,military_quarters,other_noninstitutional,house_owned_with_mortgage,house_owned_outright,renter_occupied_housing,vacant_households,husband_and_wife_house,single_guardian,singles,singles_with_roommate,male,female,median_age,male_median_age,female_median_age,population,population_density_per_sq_mile,total_housing_units,median_home_value,land_area,water_area_sq_mile,occupied_housing_units,median_household_income
98116,9304,5177,5137,9414,1934,0,33,693,924,480,5516,1656,6763,2509,837,430,2011,1322,433,265,21,190,38,143,0,200,22018,0,0,185,0,0,38,4964,1496,4644,857,4165,994,4593,1352,10640,11601,42,41,43,22241,7523,11961,467900.00,2.96,0.73,11104,74274.00
98117,13248,7256,4773,12511,2864,0,37,1488,1363,646,5998,1627,8779,4072,1290,606,2831,1458,292,150,24,100,45,54,0,173,31088,0,0,136,0,0,141,7628,2260,3779,546,6450,1386,3973,1858,15358,16007,40,39,40,31365,7953,14213,463500.00,3.94,0.61,13667,86986.00
98118,13482,9488,11216,14178,3770,54,37,1228,708,6139,11395,1798,6074,2601,995,477,6531,875,1009,387,25,215,56,54,0,298,41980,0,0,263,0,0,488,7064,1797,6266,1035,6294,3412,3944,1477,20793,21938,38,37,39,42731,6841,16162,350700.00,6.25,2.64,15127,52276.00
98119,9544,6656,3825,8162,2349,23,90,2228,1215,334,3659,836,6009,3055,1184,447,981,792,121,352,33,125,22,208,0,170,19066,0,19,45,0,362,183,3500,989,6193,910,2939,593,5312,1838,10030,11009,34,35,33,21039,8638,11592,608300.00,2.44,0.63,10682,68383.00
98122,13436,9515,6234,8173,4991,42,85,5798,1112,1504,6341,1766,8238,3573,1308,931,2149,572,354,707,88,224,49,102,0,236,28888,62,110,236,0,0,743,4501,867,10349,1406,2963,1494,7771,3489,16432,15022,32,33,31,31454,13594,17123,407600.00,2.31,1.22,15717,53570.00
98125,12741,9730,8818,13656,4042,0,113,1047,1051,2229,9581,2057,8201,3739,859,950,3389,891,351,889,40,125,41,90,1,322,36682,0,0,113,0,0,286,6108,2099,8962,1508,6095,2257,6551,2266,18184,18897,38,36,39,37081,6879,18677,372000.00,5.39,1.54,17169,53044.00
98126,7967,4415,4675,7553,2110,0,21,426,754,1260,5498,1272,5106,1780,514,270,2138,459,356,237,15,147,28,59,0,129,20333,1,0,272,53,0,39,4387,989,3814,615,3442,1350,3218,1180,9827,10871,38,37,39,20698,6732,9805,358100.00,3.07,0.69,9190,66408.00
98133,15741,11375,12510,17236,3749,0,63,1257,1374,2972,14444,3225,9165,3239,461,654,4858,862,545,972,45,315,32,86,1,272,43471,0,8,580,0,0,496,7568,2401,10211,1723,7070,2730,7847,2533,21613,22942,39,37,41,44555,6279,21903,326400.00,7.10,0.07,20180,51499.00
98136,6239,3354,2980,6433,1078,18,62,361,810,277,3791,993,4311,1651,546,229,918,799,134,160,11,97,19,47,0,130,14671,0,0,86,0,0,13,3551,1070,2448,464,2938,683,2594,854,7003,7767,43,43,43,14770,6425,7533,445700.00,2.30,0.84,7069,84344.00
98144,10047,6281,6107,8980,3264,29,130,1446,622,2750,6433,1026,5889,2254,1059,529,2415,647,301,569,21,261,46,63,0,189,26314,35,3,264,0,0,265,4367,1270,5874,1149,3799,1965,4060,1687,13573,13308,38,38,39,26881,7895,12660,391000.00,3.40,1.75,11511,55950.00
98146,8357,5668,6314,9546,1623,0,103,506,465,2959,8509,1419,2965,1189,305,96,3163,1080,534,228,10,135,20,43,0,175,25565,0,91,111,9,0,146,4551,1495,3565,611,4436,1780,2544,851,13002,12920,38,38,39,25922,5573,10222,308400.00,4.65,0.68,9611,56809.00
98148,3704,2117,2500,4450,363,12,0,153,165,1299,3665,605,926,224,33,54,1570,178,307,193,24,59,4,10,0,68,9961,0,0,12,0,0,37,1418,401,2411,358,1547,788,1520,375,5048,4962,37,35,38,10010,3194,4588,255900.00,3.13,0.00,4230,45424.00
98155,11906,7156,7793,13736,1453,0,17,533,876,1854,9533,2094,6535,2421,798,714,4634,744,479,247,11,142,31,53,0,190,32093,0,0,229,5,0,451,7007,2173,4051,674,6465,1900,3654,1212,16206,16572,42,40,43,32778,4330,13905,340900.00,7.57,0.66,13231,72281.00
98166,6731,4459,4913,8130,677,0,26,362,441,1301,6498,1151,3586,1484,332,271,2461,727,499,205,11,219,34,48,0,154,20247,0,25,8,0,0,21,3826,1624,2832,671,4141,1253,2287,601,10101,10200,43,42,44,20301,3580,8953,386900.00,5.67,1.56,8282,63320.00
98168,10095,7744,8242,12836,1787,0,66,310,262,4083,12123,2070,2668,883,174,96,5048,552,1007,382,16,176,30,42,0,217,33389,0,14,81,17,0,233,5058,1328,5292,863,4941,2516,3105,1116,17470,16264,34,34,35,33734,3794,12541,240000.00,8.89,0.16,11678,49233.00
98177,5796,4181,5660,7252,668,0,51,131,652,578,3840,939,4933,1920,994,579,2045,1122,134,65,6,108,34,36,0,116,18749,0,0,133,0,0,148,4517,1846,1350,365,4468,884,1814,547,9100,9930,48,46,49,19030,3341,8078,478600.00,5.70,1.38,7713,95648.00
98178,8460,4904,6333,9818,1062,0,44,359,468,2794,8477,1386,3334,819,399,115,3324,525,520,256,8,117,33,33,0,175,23939,0,0,4,0,0,149,4332,1340,2996,622,3629,2091,2256,692,11857,12235,38,37,39,24092,4966,9290,283100.00,4.85,1.02,8668,58707.00
98188,7143,5522,6189,8998,1248,0,3,539,299,2141,9020,1382,2302,639,115,99,3221,238,571,371,24,111,12,51,0,127,23034,0,0,11,0,0,66,3088,1335,4840,696,3378,1867,3108,910,11866,11245,35,35,36,23111,3062,9959,226800.00,7.55,0.29,9263,40815.00
98198,11245,7005,10280,13694,1325,0,47,346,333,4043,12572,2243,3773,1177,255,137,4583,606,692,568,40,285,29,106,0,194,33121,831,0,433,0,0,199,5705,1799,5602,1222,5589,2532,3944,1041,17232,17352,38,36,39,34584,4441,14328,258500.00,7.79,0.90,13106,56364.00
98199,8422,4458,3964,8276,1622,0,52,749,680,353,3554,1087,6447,2387,1042,599,2112,999,216,240,18,154,38,104,0,158,19620,0,0,12,5,0,49,4381,1557,3160,712,4182,817,3010,1089,9607,10079,42,41,42,19686,4714,9810,606200.00,4.18,1.50,9098,82882.00
